Tanmay Bhatt,90 Wall Street NY,201-872-0536,1,null,null,null,67283615
Rohan Joshi,123 Auburn Street NY,201-331-3421,1,null,null,null,41324567
Shaunak Pagnis,720 Benge Dr TX,682-321-1234,1,null,null,null,87652635
Pranav Navandar,21 South Street  CA,312-765-0987,1,null,null,null,12376521
Jacob Marshall,810 South Cooper St TX,876-276-3837,1,null,null,null,72639863
Tejas Khedkar,675 Collins Street  TX,682-098-0987,1,null,null,null,76543278
Google,23 Mountain View CA,786-987-9878,2,null,null,null,null
Facebook ,1 Hacker Way CA,900-876-8273,2,null,null,null,null
Lyft,2300 Harrison Street CA,876-987-2345,2,null,null,null,null
Tesla,3500 Deer Creek Palo Alto,786-263-8364,2,null,null,null,null
Whatsapp,1601 Will Road CA,321-629-0937,2,null,null,null,null
Globus,400 Willow St MI,767-354-5463,2,null,null,null,null
Dell,5473 Dell Way TX,800-822-8844,2,null,null,null,null
